,id,amenity,est,nor,Ai,centers,label
4164,32912553,garden,531201.189,177513.309,44.99,False,132
4165,32919209,hotel,530123.713,180724.768,311.41,False,13
4166,32919259,hotel,529857.318,180564.297,238.21,False,13
4167,32921722,pub,531298.064,181123.34,107.63,False,94
4168,32921723,parking,531311.245,181107.123,105.53,False,94
4172,32982369,park,532349.234,182076.735,86.15,False,94
4173,32984618,university,529996.178,182030.942,114.01,False,121
4186,33101925,fuel,533688.267,188095.661,12.37,False,92
4187,33101954,pub,533704.743,187989.847,16.02,False,92
4190,33132338,place of worship,532356.577,196654.069,23.23,False,96
4195,33178658,school,532015.045,183276.4,55.36,False,43
4200,33202299,hotel,525613.442,179271.288,55.09,False,158
4201,33202307,hotel,525669.906,179300.456,54.77,False,158
4202,33202556,embassy,525503.361,180472.975,79.86,False,54
4203,33202561,embassy,525576.916,180498.448,70.29,False,54
4204,33202582,embassy,525603.462,180524.773,68.43,False,54
4208,33219621,park,515281.93,172934.066,26.73,False,104
4211,33234398,school,515320.483,172764.828,19.94,False,104
4212,33267602,hospital,525649.325,178886.202,52.05,False,158
4213,33281639,supermarket,530230.206,182332.143,133.7,False,121
4214,33282079,college,530586.925,182536.863,84.94,False,121
4215,33310117,supermarket,529462.473,196017.248,20.42,False,51
4217,33324168,school,533267.081,175768.12,13.56,False,5
4218,33324169,school,533434.106,174527.167,13.4,False,5
4221,33334400,bicycle,534041.581,175330.462,32.91,False,5
4223,33450168,park,537506.339,169679.188,28.1,False,86
4225,33488580,school,532465.39,182557.356,75.19,False,43
4229,33497682,pub,526496.747,164498.888,24.42,False,130
4230,33506415,playground,533289.737,175407.691,27.03,False,5
4231,33513550,place of worship,537480.064,169647.021,30.22,False,86
4234,33583650,pub,527892.047,164717.109,24.17,False,110
4236,33622789,cafe,530924.303,182072.785,102.53,False,94
4237,33622793,dentist,530911.301,182092.724,100.75,False,94
4238,33622794,restaurant,530907.372,182097.307,100.31,False,94
4239,33622797,pharmacy,530898.116,182120.036,98.1,False,94
4240,33625883,craft,519898.512,175290.701,23.49,False,88
4241,33626142,convenience,519758.075,175317.584,14.16,False,88
4242,33665778,pub,528517.139,164891.902,18.18,False,110
4243,33665780,pub,528621.49,164698.481,17.63,False,102
4247,33704467,school,533945.401,174411.004,17.58,False,5
4248,33717225,fire station,529012.332,164205.631,16.48,False,102
4249,33717257,pub,528887.186,164093.033,22.1,False,102
4250,33717258,parking,528910.264,164143.319,21.37,False,102
4251,33717284,hospital,528844.561,164308.479,21.99,False,102
4252,33721672,theatre,530380.698,180997.487,290.33,False,13
4253,33735587,place of worship,534015.521,175477.55,28.77,False,5
4258,33739816,place of worship,518325.671,167607.986,17.27,False,80
4259,33743209,park,518055.815,167639.51,25.36,False,80
4266,33779259,school,530747.512,182074.376,104.58,False,94
4276,33832648,garden,523862.815,180186.178,37.67,False,151
4277,33832673,garden,523908.831,180497.304,27.84,False,151
4278,33832674,garden,523935.007,180578.968,26.63,False,151
4279,33832675,garden,523984.909,180445.239,28.95,False,151
4280,33851050,garden,523863.157,180862.965,20.34,False,151
4283,33859752,park,527095.237,179428.067,42.78,False,144
4284,33869591,pharmacy,528860.683,164188.458,22.81,False,102
4285,33869776,theatre,528214.89,164591.413,24.62,False,110
4286,33885730,hospital,533376.149,175075.127,22.93,False,5
4287,33885736,place of worship,534418.016,174879.974,20.99,False,5
4288,33885737,place of worship,533575.326,175074.854,37.35,False,5
4289,33885739,place of worship,533915.613,173925.056,18.64,False,40
4290,33885740,garden,533885.158,173954.656,20.32,False,40
4291,33887712,place of worship,527928.773,177502.188,11.76,False,81
4293,33888713,park,521450.549,190693.389,14.08,False,27
4294,33893568,pub,531626.975,179751.437,67.72,False,72
4295,33923910,place of worship,524899.976,174525.681,27.65,False,162
4296,33954468,place of worship,537124.295,169283.905,22.83,False,86
4297,33968790,supermarket,537352.386,169911.165,16.44,False,86
4298,34018254,garden,530638.404,185411.526,41.4,False,56
4299,34019641,parking,530649.726,185285.442,39.98,False,56
4300,34019648,parking,530687.368,185276.808,42.87,False,56
4301,34019653,garden,530691.336,185298.097,43.75,False,56
4302,34019654,parking,530716.496,185313.233,46.12,False,56
4303,34019655,parking,530751.569,185351.827,49.73,False,56
4304,34019656,parking,530783.357,185388.054,52.71,False,56
4305,34019657,garden,530760.145,185372.991,50.81,False,56
4306,34019658,garden,530728.577,185334.376,47.56,False,56
4307,34022268,parking,530753.447,185403.563,50.75,False,56
4308,34022276,parking,530809.65,185435.969,55.16,False,56
4309,34022673,community centre,529846.749,186475.727,56.61,False,103
4310,34022674,playground,529819.843,186417.597,51.07,False,103
4311,34022679,playground,529688.348,186217.888,33.03,False,103
4312,34022680,park,529613.173,186184.344,31.24,False,103
4313,34026111,playground,530840.17,185562.522,60.78,False,56
4314,34026600,beauty,530914.817,185544.575,60.98,False,56
4316,34038668,place of worship,532350.096,181695.792,92.43,False,94
4317,34038669,school,532304.301,181745.463,90.8,False,94
4318,34038680,park,532495.905,181759.406,95.33,False,52
4319,34038686,garden,532242.418,181895.808,91.01,False,94
4320,34038687,theatre,532340.582,181821.108,89.28,False,94
4323,34040121,parking,514847.472,187712.426,16.89,False,97
4324,34040668,parking,514731.269,187837.591,14.16,False,97
4325,34040868,doctors,514711.169,187959.279,13.67,False,97
4327,34040997,parking,514937.247,188035.574,21.82,False,97
4328,34040999,parking,514581.514,188042.739,11.51,False,97
4332,34063826,parking,532125.859,183785.317,72.48,False,43
4333,34064478,garden,532239.389,183806.847,56.08,False,43
4335,34064925,place of worship,532166.885,183745.859,64.2,False,43
4336,34065881,park,532403.587,183602.686,35.56,False,43
4337,34066480,college,532028.367,183607.318,73.82,False,43
4338,34066768,pub,532328.369,183637.768,41.01,False,43
4339,34082365,park,532074.238,183553.506,63.08,False,43
4340,34083184,garden,531886.707,183106.316,62.95,False,43
4341,34083444,school,531928.48,182766.627,64.89,False,43
4342,34083497,park,531972.75,182645.875,69.98,False,43
4343,34083501,place of worship,532060.379,182700.407,64.8,False,43
4344,34115411,park,530124.334,186735.391,45.11,False,103
4345,34115922,playground,530067.51,187170.808,47.89,False,103
4347,34118271,school,539969.053,181891.463,14.01,False,55
4349,34140817,theatre,533305.993,180078.718,70.37,False,52
4350,34148242,garden,526238.693,179402.213,41.09,False,93
4351,34150469,school,524208.165,181149.957,28.9,False,54
4352,34150601,park,523968.528,181269.404,17.42,False,77
4354,34179729,place of worship,534191.049,176252.311,41.26,False,3
4355,34179730,place of worship,533907.168,175920.426,29.01,False,5
4356,34179731,place of worship,532966.05,176631.232,27.5,False,4
4357,34182069,park,532292.174,182494.685,71.12,False,94
4358,34182078,garden,532321.825,182408.472,75.1,False,94
4359,34182313,park,532380.172,182527.28,71.51,False,43
4360,34185535,pub,523867.194,180594.328,25.55,False,151
4361,34185587,school,523830.947,180747.15,21.62,False,151
4362,34185647,place of worship,523907.619,180740.841,22.7,False,151
4363,34187712,parking,530759.891,185472.509,52.54,False,56
4370,34197014,parking,514720.095,186933.411,21.83,False,129
4371,34203451,garden,531858.505,178171.862,25.85,False,132
4372,34203727,park,532016.708,178396.357,35.04,False,132
4373,34212155,school,522744.261,180744.596,15.27,False,151
4374,34212158,school,522940.957,180760.909,14.36,False,151
4376,34212353,community centre,522711.234,180679.955,16.22,False,151
4377,34212379,community centre,522700.335,180736.538,14.75,False,151
4378,34212425,place of worship,522783.595,180751.944,15.42,False,151
4379,34212427,community centre,522838.09,180755.597,15.31,False,151
4380,34212613,place of worship,522878.005,180762.146,14.88,False,151
4381,34212700,school,522760.435,180579.243,18.95,False,151
4382,34212711,hospital,522812.281,180573.641,19.32,False,151
4383,34212718,playground,522992.166,180735.087,14.4,False,151
4384,34212722,playground,522760.051,180635.347,17.76,False,151
4385,34212801,hotel,524043.018,179933.308,31.37,False,151
4386,34214405,parking,538430.979,184194.462,51.75,False,107
4387,34214424,school,538392.626,183846.366,35.92,False,107
4388,34227493,park,523816.102,180363.192,30.77,False,151
4389,34227494,school,524213.957,180454.847,29.82,False,54
4390,34228039,place of worship,527182.582,179548.053,40.91,False,144
4391,34233577,community centre,523139.225,180603.177,16.02,False,151
4392,34234063,school,522799.733,180720.489,16.28,False,151
4393,34236644,garden,523825.348,180158.461,39.97,False,151
4394,34239148,place of worship,534289.618,174453.201,16.17,False,5
4395,34255195,school,514854.714,187149.701,17.11,False,97
4396,34291545,hospital,532760.489,176182.92,20.49,False,4
4397,34315447,garden,532128.64,186858.886,12.86,False,37
4399,34336487,parking,532158.103,196684.968,15.33,False,96
4400,34387691,department store,524659.922,170673.86,76.3,False,75
4401,34401672,playground,524140.468,180533.565,29.99,False,54
4402,34424432,parking,551398.636,177977.396,16.01,False,145
4403,34424770,parking,551397.793,177901.903,15.88,False,145
4406,34469888,pub,526495.095,196205.38,12.49,False,109
4408,34578754,supermarket,526899.585,181955.063,78.59,False,29
4409,34588095,furniture,529916.305,181127.87,371.09,False,13
4411,34622920,restaurant,522605.714,180721.783,12.99,False,151
4413,34724705,courthouse,525003.556,170939.876,44.68,False,75
4414,34730598,garden,525328.969,170793.189,29.54,False,75
4415,34749611,playground,524616.154,184803.705,15.08,False,65
4418,34766093,school,531620.825,170819.171,11.83,False,105
4419,34766128,place of worship,531738.12,170794.028,13.91,False,105
4420,34777241,park,540084.669,169064.819,49.49,False,67
4421,34779859,butcher,516858.478,179612.906,14.59,False,141
4424,34800118,park,527244.236,179461.057,52.81,False,144
4426,34816196,pub,517185.25,177223.82,11.74,False,53
4427,34830089,school,524347.644,185114.569,17.97,False,65
4428,34831970,park,525390.022,183236.915,47.58,False,6
4429,34832022,library,525551.645,183492.278,68.72,False,6
4430,34832137,place of worship,525703.573,183387.804,45.39,False,6
4436,34869695,school,525145.281,184267.948,56.86,False,6
4442,34932774,park,530265.306,178880.703,37.25,False,132
4443,35100611,place of worship,518415.133,168952.216,18.91,False,143
4445,35142425,parking,542901.0,174593.16,39.83,False,128
4446,35142432,parking,542878.931,174534.193,48.19,False,128
4449,35185631,furniture,522215.749,168132.628,11.5,False,113
4450,35208888,garden,534348.457,175535.637,21.79,False,5
4451,35208899,school,534632.548,175702.618,20.34,False,5
4462,35323430,parking,548730.458,175255.992,43.17,False,157
4467,35393530,place of worship,527132.272,179240.255,55.26,False,144
4468,35403287,place of worship,525482.53,184542.187,38.33,False,6
4469,35409660,bank,532497.408,181062.01,154.67,False,52
4474,35428075,school,534661.392,176684.177,32.94,False,3
4475,35428079,school,534713.218,176701.663,29.05,False,3
4476,35428083,playground,534674.512,176611.983,29.07,False,3
4477,35428104,pub,534457.336,176733.504,57.53,False,3
4478,35434674,park,530400.792,182550.465,102.73,False,121
4479,35438336,parking,528191.944,173047.358,24.67,False,101
4480,35438593,parking,528633.131,173216.262,48.25,False,101
4482,35445802,playground,534458.114,176599.336,45.68,False,3
4483,35445807,playground,534398.569,176703.853,61.63,False,3
4484,35448692,park,533750.268,177499.06,11.69,False,3
4485,35448952,garden,534472.11,177680.573,15.54,False,3
4486,35448957,track,534597.284,177414.65,21.62,False,3
4487,35475594,park,533709.845,177003.673,20.7,False,3
4488,35475970,park,533978.331,177192.286,25.9,False,3
4489,35541406,playground,521716.328,168242.223,13.6,False,113
4491,35582953,garden,538547.717,183726.394,27.65,False,107
4492,35644670,parking,546293.266,171694.814,19.33,False,71
4493,35644748,parking,546199.654,171632.467,16.23,False,71
4494,35653667,parking,546258.422,171597.195,15.51,False,71
4505,35824042,supermarket,527564.986,175657.445,60.15,False,136
4506,35824051,pharmacy,527474.64,175584.726,77.37,False,136
4507,35824055,supermarket,527417.192,175587.939,81.5,False,136
4508,35824064,parking,527576.153,175568.697,70.27,False,136
4509,35824091,parking,527379.679,175573.058,86.29,False,136
4523,35975199,restaurant,532524.58,176482.031,46.83,False,4
4525,35979053,park,527681.248,182039.194,76.03,False,133
4528,35997477,supermarket,540204.411,169435.196,70.89,False,67
4538,36119287,parking,540095.777,169188.158,57.82,False,67
4539,36119317,place of worship,540124.165,169244.49,65.18,False,67
4549,36222576,pharmacy,514805.23,183884.27,17.12,False,138
4550,36222577,pub,514850.983,183998.225,13.64,False,138
4553,36289081,parking,532148.077,166131.364,104.44,False,24
4554,36312229,pharmacy,528121.434,164554.011,24.63,False,110
4555,36312259,supermarket,528114.492,164508.329,23.48,False,110
4556,36312309,cafe,528160.561,164593.613,25.26,False,110
4557,36314175,pub,528027.743,164488.366,22.81,False,110
4558,36413237,parking,533735.912,176859.232,23.14,False,3
4566,36506625,fuel,516205.64,177380.972,12.59,False,74
4567,36506896,playground,522582.179,178810.047,21.22,False,151
4569,36509121,fuel,515677.72,180237.597,16.78,False,142
4570,36509164,pharmacy,515632.965,180197.994,20.1,False,142
4577,36585191,pub,528010.656,164484.21,22.51,False,110
4579,36621282,park,533982.948,176973.605,32.94,False,3
4583,36684379,fast food,514798.982,183869.431,17.34,False,138
4588,36729818,garden,531623.693,183572.28,145.97,False,43
4589,36731565,parking,531357.873,184754.414,62.68,False,56
4593,36769997,park,527767.242,180927.257,97.47,False,133
4594,36771812,hotel,530365.55,183113.33,123.71,False,121
4595,36771814,supermarket,530416.294,183114.276,124.7,False,121
4606,36868088,pub,524299.623,163415.797,44.97,False,130
4608,36872838,school,524087.528,163442.62,30.69,False,68
4610,36884646,school,534559.685,174807.082,18.17,False,5
4614,36918240,bookmaker,533418.592,181366.333,207.29,False,52
4618,36960842,place of worship,524282.563,163916.543,29.27,False,130
4620,36969165,place of worship,524247.507,163802.942,44.19,False,130
4621,36969174,library,524260.531,163850.592,37.6,False,130
4624,36989166,parking,524276.081,163710.429,57.92,False,130
4625,36989169,pub,524329.219,163572.948,64.71,False,130
4626,36989608,parking,539477.127,175998.27,32.62,False,59
4628,37014813,parking,539676.931,176068.423,40.66,False,59
4629,37048929,parking,549503.767,173656.24,42.05,False,157
4631,37070907,school,522594.967,178778.311,21.59,False,151
4632,37119591,parking,549356.178,173463.925,29.01,False,71
4633,37122252,park,537031.62,183593.626,19.02,False,119
4634,37124435,pub,527770.035,164959.496,28.93,False,110
4635,37124474,school,527725.254,164421.119,15.99,False,110
4636,37124475,museum,527716.127,164488.62,16.79,False,110
4637,37126471,park,537574.769,183075.3,28.03,False,119
4638,37126473,parking,537640.536,183128.514,22.97,False,119
4639,37126475,parking,537493.325,183023.465,31.75,False,119
4640,37126489,parking,537417.628,183121.605,24.07,False,119
4641,37126504,playground,537557.79,183053.819,29.86,False,119
4644,37160049,pharmacy,527375.142,165219.019,25.41,False,110
4646,37181150,school,536969.795,182833.349,26.99,False,153
4648,37207211,community centre,536664.514,183788.089,17.38,False,119
4649,37207655,school,536873.436,182791.438,28.52,False,153
4650,37207656,school,536793.073,182838.15,28.21,False,153
4651,37228609,school,534457.69,184356.871,17.65,False,150
4654,37232079,playground,536631.551,183743.903,19.18,False,119
4655,37238083,school,536281.609,183138.927,39.25,False,153
4659,37371133,school,528145.907,184513.184,49.97,False,98
4665,37552361,bank,524293.147,163615.609,67.23,False,130
4666,37552362,pharmacy,524267.716,163624.126,66.51,False,130
4667,37552364,bank,524265.422,163595.553,66.75,False,130
4668,37639877,sports centre,532065.179,176449.9,22.33,False,4
4671,37687277,park,523419.417,178076.564,21.08,False,161
4672,37691109,park,531640.843,181929.147,134.26,False,94
4679,37702155,kindergarten,531545.816,177977.881,25.82,False,132
4680,37705979,park,535096.936,185098.659,45.03,False,60
4681,37705986,bookmaker,534978.42,185000.781,50.02,False,60
4682,37743769,park,532324.14,184265.113,44.41,False,56
4684,37746181,school,531680.636,178092.255,24.41,False,132
4685,37746597,track,531421.798,177962.558,31.22,False,132
4686,37746844,garden,531412.416,177618.752,31.28,False,132
4687,37746935,playground,531482.057,177779.275,28.02,False,132
4688,37754176,school,528001.193,178377.151,63.41,False,81
4692,37767842,place of worship,527586.531,177892.54,28.59,False,81
4693,37798918,garden,526602.073,177210.356,22.35,False,149
4694,37798940,school,526275.869,177044.146,20.91,False,149
4695,37798941,parking,526212.58,176970.317,20.53,False,149
4696,37798949,college,526151.114,177080.353,23.72,False,149
4697,37798960,furniture,526118.699,177250.74,29.76,False,149
4699,37804490,parking,535949.332,183298.398,35.72,False,153
4700,37804493,playground,535894.418,183239.797,36.87,False,153
4701,37804495,restaurant,535856.354,183224.045,36.16,False,153
4702,37804496,place of worship,536022.789,183246.892,38.29,False,153
4703,37804497,place of worship,536028.67,183232.571,38.77,False,153
4706,37807190,parking,534469.398,196775.529,13.34,False,122
4707,37807249,parking,534423.91,196642.616,13.62,False,124
4708,37807284,parking,534406.576,196467.942,12.46,False,124
4709,37808958,bakery,534355.265,196622.952,13.32,False,124
4710,37809157,fast food,534351.958,196555.95,13.24,False,124
4715,37830707,playground,526237.728,177225.573,26.17,False,149
4716,37841883,park,537539.508,177485.349,33.83,False,58
4717,37852897,garden,534925.909,184705.46,39.43,False,60
4718,37852899,garden,534925.212,184684.443,38.43,False,60
4719,37875094,school,534284.821,182112.654,70.12,False,52
4724,37880675,hospital,536784.109,177178.696,41.46,False,58
4725,37880890,parking,531801.209,177868.953,20.84,False,132
4726,37881158,parking,537189.279,176863.917,45.71,False,58
4730,37898785,park,522792.688,179799.103,44.62,False,151
4732,37909796,library,530049.909,181721.005,151.44,False,13
4733,37918769,park,537531.012,181529.941,18.14,False,153
4734,37935368,parking,537314.46,177216.258,60.87,False,58
4737,37962005,supermarket,533599.101,187072.431,36.63,False,61
4746,38054663,parking,540347.714,169728.516,27.78,False,67
4747,38083616,park,535089.075,185157.918,44.06,False,60
4748,38083617,grave yard,535013.918,185032.84,49.01,False,60
4749,38083627,school,535348.116,185138.907,32.52,False,60
4751,38109321,parking,538260.556,177847.29,52.15,False,16
4752,38118477,place of worship,528576.161,179286.348,49.27,False,144
4753,38118713,hotel,527915.883,179346.641,88.94,False,144
4754,38118926,school,525220.975,180235.427,69.65,False,54
4758,38153961,cinema,531098.54,190363.631,32.3,False,117
4770,38197282,craft,538458.952,190100.331,30.18,False,28
4771,38215812,park,527192.576,178328.027,57.68,False,93
4772,38215816,place of worship,527192.05,178324.632,57.61,False,93
4775,38281434,clothes,523415.198,186097.781,11.86,False,65
4778,38309289,parking,527760.678,181137.162,138.69,False,133
4779,38310101,park,528897.006,181072.675,258.22,False,13
4780,38310265,place of worship,528972.679,180924.632,268.75,False,13
4781,38316944,hotel,527926.287,181130.668,140.71,False,133
4782,38318289,hotel,528313.965,179775.52,41.39,False,144
4783,38318354,hotel,528464.358,179943.611,42.67,False,144
4784,38318529,place of worship,528398.434,180520.117,90.31,False,144
4785,38318550,park,528476.646,180553.072,105.16,False,144
4786,38318561,place of worship,528540.223,180569.789,115.94,False,144
4787,38318935,hotel,528409.638,180691.637,115.79,False,133
4788,38319205,department store,528829.772,180984.478,241.36,False,13
4789,38325257,hotel,530240.361,180363.011,148.89,False,13
4795,38425099,hotel,529015.457,180385.71,193.04,False,13
4796,38425102,hotel,528896.059,180451.626,183.72,False,13
4797,38432589,police,529077.999,180809.1,292.71,False,13
4798,38446817,park,529678.272,180248.283,116.3,False,13
4799,38447032,park,529776.452,180306.058,132.67,False,13
4800,38451087,garden,528296.211,185247.575,22.45,False,98
4802,38481403,parking,538700.211,194458.958,13.55,False,134
4804,38484318,supermarket,538770.785,194434.16,15.23,False,134
4805,38490391,playground,538971.302,193678.783,18.14,False,134
4806,38492709,park,538928.99,193698.589,16.69,False,134
4807,38526733,courthouse,523714.048,178358.819,25.79,False,161
4812,38665312,parking,539179.677,194625.257,13.71,False,134
4813,38708677,parking,534300.828,176025.444,33.71,False,3
4817,38762441,garden,530942.424,190743.204,24.0,False,117
4818,38762442,garden,530944.821,190627.87,29.03,False,117
4819,38762452,police,530846.13,190806.591,23.36,False,117
4820,38762453,garden,530837.434,190750.705,24.24,False,117
4821,38762460,parking,530800.671,190755.241,23.48,False,117
4822,38762472,school,530759.448,190739.487,22.36,False,117
4823,38762543,garden,531171.909,190597.383,20.89,False,117
4824,38763432,library,531821.571,177639.829,22.06,False,132
4825,38769623,park,531063.511,190916.438,15.16,False,117
4826,38769688,bank,531033.183,190414.397,35.01,False,117
4827,38769707,park,530886.251,190590.401,29.78,False,117
4828,38769709,place of worship,530884.688,190642.628,27.92,False,117
4829,38771881,doctors,530980.345,190727.382,23.64,False,117
4830,38819807,parking,533514.499,187129.868,27.97,False,61
4831,38820872,park,533840.511,188915.912,12.45,False,92
4832,38820877,school,533891.622,189002.494,13.92,False,92
4833,38821440,park,533747.607,189327.947,21.35,False,92
4834,38821519,doctors,533924.702,189271.935,18.63,False,92
4835,38822080,school,534112.161,187364.333,11.5,False,61
4847,38895569,garden,528452.521,181039.735,221.39,False,133
4851,38935912,bicycle,518269.519,169748.173,19.6,False,143
4854,38965896,hotel,532182.029,182667.265,64.39,False,43
4864,39116563,school,528090.038,189920.317,13.62,False,31
4865,39166990,parking,531738.072,174365.578,29.04,False,50
4866,39195229,playground,531607.108,187355.957,22.76,False,37
4867,39247289,park,533548.536,181928.59,187.01,False,52
4868,39267071,park,534181.976,182455.177,60.93,False,52
4871,39335871,confectionery,533530.171,181756.071,228.04,False,52
4872,39335872,clothes,533537.893,181755.962,227.91,False,52
4873,39335873,restaurant,533545.057,181756.273,227.64,False,52
4874,39335874,cafe,533556.55,181755.607,227.19,False,52
4875,39345361,community centre,533874.084,181502.401,175.57,False,52
4876,39345379,park,533823.168,181508.113,184.23,False,52
4877,39349103,playground,533201.662,179398.917,59.47,False,72
4878,39350668,playground,533473.588,175682.375,19.49,False,5
4887,39466335,college,524577.287,196363.999,33.51,False,109
4888,39469335,hotel,527931.794,180962.441,117.29,False,133
4889,39469973,school,532229.973,176858.664,32.04,False,4
4892,39472609,hotel,538505.892,177635.681,51.67,False,16
4896,39498160,school,532382.247,176524.205,38.1,False,4
4897,39501718,school,532020.231,177222.877,33.95,False,4
4898,39502488,school,532249.438,177133.365,35.7,False,4
4899,39528953,school,531762.745,177270.883,25.8,False,4
4901,39576354,townhall,533791.115,179245.527,42.32,False,0
4902,39578903,place of worship,532081.218,177068.272,35.69,False,4
4903,39597629,place of worship,531361.801,176517.11,17.07,False,4
4904,39597747,place of worship,531434.418,175971.79,26.91,False,50
4907,39643182,playground,512593.925,179887.107,17.32,False,23
4910,39645279,place of worship,532151.048,176150.652,23.63,False,4
4911,39645307,place of worship,532478.501,176325.691,37.05,False,4
4915,39658932,park,532313.344,183192.977,40.15,False,43
4916,39663028,pub,525839.692,170052.571,18.26,False,9
4917,39663865,pub,526032.696,169878.649,13.11,False,9
4918,39664415,pub,526212.357,170099.895,13.01,False,9
4919,39672302,fuel,525808.526,170226.736,16.15,False,9
4920,39679911,park,517876.93,179358.22,13.7,False,141
4922,39685823,cinema,524916.846,170505.746,98.35,False,75
4926,39698474,school,531877.947,176919.755,25.61,False,4
4927,39741897,pub,526281.502,170396.655,13.0,False,9
4928,39753415,playground,530126.546,177204.278,19.64,False,62
4930,39764474,pub,523831.807,171137.543,22.21,False,89
4931,39811548,courthouse,530023.906,179600.887,47.18,False,72
4932,39814415,department store,528269.338,181145.924,185.28,False,133
4934,39826687,park,542281.057,174180.116,12.86,False,128
4937,39862550,parking,518119.792,169068.981,32.38,False,143
4938,39863394,parking,518161.358,169081.048,32.37,False,143
4939,39864463,parking,518105.092,169283.537,45.33,False,143
4941,39893826,hospital,526869.273,183052.421,22.44,False,6
4951,39977856,place of worship,534125.146,175913.426,30.97,False,3
4952,39977857,place of worship,534182.322,176036.271,35.12,False,3
4953,39977859,place of worship,534203.683,175760.924,25.02,False,5
4955,40009374,park,529904.376,186642.414,59.63,False,103
4959,40044430,park,532242.634,177026.118,34.5,False,4
4962,40120623,marketplace,532550.972,178354.702,34.23,False,4
4963,40175279,place of worship,526605.912,164355.965,21.76,False,130
4964,40175327,place of worship,526577.331,164303.995,22.64,False,130
4965,40175341,place of worship,526576.377,164420.637,22.66,False,130
4966,40175384,pub,526399.035,164338.478,28.95,False,130
4967,40175772,pub,526437.699,164195.555,25.69,False,130
4968,40205768,place of worship,529723.148,182153.241,115.95,False,121
4973,40234916,gift,528200.949,183526.975,22.58,False,98
4974,40234917,restaurant,528149.352,183517.438,20.54,False,98
4975,40252985,garden,529055.14,182731.641,61.48,False,98
4976,40252986,playground,528928.854,182880.622,48.32,False,98
4977,40252998,garden,528858.972,183042.153,41.46,False,98
4978,40253015,place of worship,528815.27,182891.706,40.09,False,98
4979,40253017,garden,528951.702,182731.451,57.2,False,98
4980,40253030,school,528814.42,182947.087,38.58,False,98
4981,40253036,garden,528931.543,182838.407,50.68,False,98
4982,40253040,garden,528997.738,182732.553,58.99,False,98
4983,40253044,garden,529045.219,182768.632,59.17,False,98
4984,40253046,garden,528927.122,182729.326,56.34,False,98
4985,40253184,park,532057.231,183900.371,93.69,False,43
4986,40253205,park,532337.985,184072.148,46.94,False,43
4992,40308076,parking,538092.885,187998.741,42.42,False,84
4997,40312358,park,535496.619,183759.244,20.53,False,150
4998,40312487,park,535260.123,183001.845,39.99,False,150
5000,40322066,park,536411.936,183562.301,29.43,False,153
5001,40322069,park,536378.021,183525.513,31.11,False,153
5002,40322100,park,536448.753,183426.268,37.18,False,153
5008,40412564,theatre,530031.713,180990.016,378.88,False,13
5009,40422560,parking,517996.778,169751.745,17.16,False,143
5010,40422913,garden,526701.652,178067.776,41.22,False,93
5011,40422925,garden,526716.88,177842.943,38.51,False,93
5013,40463229,cinema,529980.872,181136.921,361.2,False,13
5014,40463234,place of worship,529959.705,181257.847,321.09,False,13
5015,40470543,hotel,530253.661,181307.444,265.86,False,13
5016,40488185,hotel,530244.362,182029.73,117.63,False,121
5017,40488187,hotel,530252.957,181982.86,118.82,False,121
5018,40493401,school,535474.203,182678.997,35.58,False,153
5019,40498332,park,531773.14,181067.868,120.08,False,94
5024,40557654,theatre,532356.142,180121.885,85.78,False,72
5029,40733972,university,529717.215,181787.612,186.54,False,13
5030,40734133,stationery,529609.808,181781.644,211.01,False,13
5035,40770451,university,529720.678,181839.309,171.7,False,13
5036,40770453,university,529671.26,181866.957,173.31,False,13
5037,40770457,furniture,529505.712,181922.099,183.13,False,13
5038,40770458,furniture,529524.214,181892.683,189.53,False,13
5040,40825877,bank,528944.583,181747.884,162.55,False,13
5041,40825885,clothes,528975.565,181749.25,169.56,False,13
5042,40835927,hotel,529058.079,181674.355,198.93,False,13
5043,40835928,restaurant,529072.628,181673.578,201.51,False,13
5044,40836092,place of worship,529143.161,181774.826,185.7,False,13
5045,40836300,copyshop,529092.615,181605.575,221.95,False,13
5046,40837421,place of worship,529234.438,181459.862,267.46,False,13
5047,40858243,place of worship,529710.649,180935.922,400.83,False,13
5048,40863714,clothes,528715.457,181126.859,243.25,False,13
5049,40863717,clothes,528854.425,180941.84,241.05,False,13
5050,40875983,park,526271.613,181838.251,40.74,False,29
5051,40879988,garden,529688.133,180913.861,395.29,False,13
5054,40917016,pub,529383.909,181963.605,173.66,False,13
5056,40942074,garden,526904.619,177757.392,36.1,False,81
5057,40985266,pharmacy,533285.654,176402.789,13.85,False,4
5060,41117865,garden,529102.459,182814.452,58.9,False,98
5061,41117877,garden,529088.807,182936.46,54.24,False,98
5062,41117878,garden,529131.424,182987.616,54.92,False,98
5063,41117887,garden,529043.217,182876.071,54.29,False,98
5064,41117888,garden,529037.373,182826.328,56.03,False,98
5065,41117901,park,529974.534,181235.369,327.78,False,13
5068,41180742,garden,531087.235,181877.181,115.35,False,94
5069,41182873,school,531160.087,181837.054,124.8,False,94
5070,41211136,place of worship,528109.761,179665.219,63.98,False,144
5075,41385450,bank,531414.437,181605.041,145.46,False,94
5077,41391135,parking,548943.376,175437.514,36.6,False,157
5078,41391147,school,548967.433,175687.192,14.66,False,157
5095,41421431,park,525848.309,189962.393,11.55,False,108
5101,41490615,place of worship,517983.298,169270.07,44.23,False,143
